price,quantity
0.95,31324277.73
1.01,29063542.75
1.03,29043458.85
1.04,28470310.84
0.89,44655461.51
0.95,32137333.01
1.03,28012520.93
1.02,29936729.76
0.97,32994014.16
1.02,30094698.85
1.04,29572225.71
1.01,32513550.51
1.04,29982648.43
1.06,31500669.44
1.02,32046401.64
1.03,33091256.26
1.07,30894157.8
0.96,41291704.39
1.02,36400886.58
1.06,32027686.15
1.04,35344183.15
1.03,33720159.09
1.0,36549995.66
0.98,37026085.75
1.02,35734613.9
1.06,32408705.7
1.04,37943670.34
1.07,31660031.68
1.07,32324647.66
1.07,30652211.08
1.09,30358467.88
1.05,33254911.87
1.05,31936856.18
1.08,29699845.61
1.07,29761638.48
1.02,33526480.08
1.03,31245835.65
1.02,29569086.56
1.03,27753508.14
1.02,28243505.52
1.0,29216198.15
0.99,29375123.6
1.04,26240072.11
0.97,31047484.27
0.97,28485715.97
0.92,28597756.27
0.96,25114228.11
0.99,22617999.38
0.89,28800396.57
0.93,28041335.38
0.98,25083647.17
0.95,27297983.67
0.86,38142088.04
0.93,35264336.01
0.94,34426341.87
0.95,32787079.21
0.93,34721249.92
0.76,52288697.89
0.88,36476441.86
0.94,32804733.22
0.91,36801817.68
0.95,35064506.04
0.93,36374516.14
0.93,36335483.78
0.94,35930195.92
0.94,33668450.55
0.9,36584029.39
0.9,37467885.19
0.87,39607695.3
0.84,42867608.54
0.82,46324529.7
0.89,39914996.74
0.93,36958035.51
0.94,40019075.24
0.97,40231259.65
1.04,35580820.0
1.02,38489936.14
1.04,36617023.79
1.06,39993186.04
1.1,35567568.43
1.15,32656123.63
1.2,32339377.09
1.23,31201590.22
1.15,33819909.09
1.12,34386177.3
1.1,33592097.72
1.09,33993931.31
1.04,37130688.91
1.08,34126730.95
1.15,31346091.46
1.22,30305112.89
1.23,29615008.49
1.27,28857581.98
1.3,27707046.82
1.34,24753513.95
1.43,21009730.21
1.44,22534698.38
1.36,24075126.49
1.27,24989702.75
1.21,22923062.65
1.0,31621221.9
0.98,30093540.7
0.96,29583882.61
1.0,30287853.7
0.89,38879716.85
0.99,38049802.62
0.98,38295488.31
0.94,42140393.39
0.96,39373579.25
0.77,61034457.1
0.87,41077470.65
0.99,33905854.58
0.99,37007797.69
1.13,33684175.01
1.22,32020573.94
1.25,31595125.23
1.24,32555119.32
1.21,34468017.36
1.21,34785712.55
1.23,35182320.78
1.18,35729013.92
1.18,38315500.43
1.09,47293921.6
1.19,36634269.03
1.26,34397651.15
1.28,37030893.73
1.24,37352360.59
1.21,37039853.8
1.18,38247669.33
1.17,37305307.68
1.21,38010426.16
1.17,39367336.18
1.33,32455047.11
1.31,32608301.51
1.32,31756097.22
1.33,32529920.23
1.33,32817254.13
1.41,29913744.37
1.47,28785279.75
1.57,26808410.65
1.56,26385081.36
1.57,25394902.82
1.62,24637148.38
1.64,24610645.21
1.65,24397166.19
1.58,25031589.09
1.44,26706971.51
1.29,30237911.23
1.19,32051594.24
1.15,32336225.0
1.17,29253484.0
1.24,24686675.0
1.09,33824253.0
1.03,35634913.01
1.07,30757767.03
1.18,29102349.33
0.98,38267341.61
1.13,36703156.72
1.2,37299945.22
1.08,42939821.55
1.09,40171640.84
0.87,62505646.52
0.97,43167806.09
1.08,36709887.49
1.06,40021528.76
1.07,40741214.05
1.09,40449603.12
1.05,41386314.12
1.03,43409835.75
