price,quantity,log_price,log_quantity,predicted_log_quantity,residual
0.9500,31324277.7300,-0.051293,17.259904,17.397589,-0.137685
1.0100,29063542.7500,0.009950,17.184995,17.359766,-0.174771
1.0300,29043458.8500,0.029559,17.184304,17.347656,-0.163352
1.0400,28470310.8400,0.039221,17.164372,17.341689,-0.177316
0.8900,44655461.5100,-0.116534,17.614487,17.437881,0.176606
0.9500,32137333.0100,-0.051293,17.285529,17.397589,-0.112060
1.0300,28012520.9300,0.029559,17.148162,17.347656,-0.199494
1.0200,29936729.7600,0.019803,17.214597,17.353681,-0.139085
0.9700,32994014.1600,-0.030459,17.311837,17.384722,-0.072886
1.0200,30094698.8500,0.019803,17.219860,17.353681,-0.133822
1.0400,29572225.7100,0.039221,17.202346,17.341689,-0.139343
1.0100,32513550.5100,0.009950,17.297167,17.359766,-0.062598
1.0400,29982648.4300,0.039221,17.216129,17.341689,-0.125559
1.0600,31500669.4400,0.058269,17.265519,17.329925,-0.064406
1.0200,32046401.6400,0.019803,17.282695,17.353681,-0.070986
1.0300,33091256.2600,0.029559,17.314780,17.347656,-0.032876
1.0700,30894157.8000,0.067659,17.246078,17.324126,-0.078048
0.9600,41291704.3900,-0.040822,17.536172,17.391122,0.145050
1.0200,36400886.5800,0.019803,17.410104,17.353681,0.056422
1.0600,32027686.1500,0.058269,17.282111,17.329925,-0.047814
1.0400,35344183.1500,0.039221,17.380644,17.341689,0.038956
1.0300,33720159.0900,0.029559,17.333606,17.347656,-0.014050
1.0000,36549995.6600,0.000000,17.414192,17.365911,0.048281
0.9800,37026085.7500,-0.020203,17.427133,17.378388,0.048745
1.0200,35734613.9000,0.019803,17.391630,17.353681,0.037949
1.0600,32408705.7000,0.058269,17.293938,17.329925,-0.035987
1.0400,37943670.3400,0.039221,17.451613,17.341689,0.109924
1.0700,31660031.6800,0.067659,17.270566,17.324126,-0.053560
1.0700,32324647.6600,0.067659,17.291341,17.324126,-0.032785
1.0700,30652211.0800,0.067659,17.238215,17.324126,-0.085911
